id,text,human_label_1,human_label_2,adjudicated_label,note
1622343,"标题：甲流的传播元凶已找到，真正的...@走天下观四方的动态
正文：甲流的传播元凶已找到，真正的“头号传播源”，根本不是食物，而是——你每天摸上百次的物品表面。 比如手机屏幕、门把手、电梯按钮。你以为躲开咳嗽和人群就安全了？病毒正粘在你手上，等着你揉眼睛、摸鼻子。 这波流感挺厉害。全国病例都在快速增加，超过95%都是甲型H3N2病毒。这病毒有两年没大流行了，很多人对它没抵抗力，它一回来就特别猛。 你担心门把手，却从不给手机消毒。吃饭看它，上厕所带它，睡前还刷它。有研究查了，86%的手机上都有致病细菌或病毒。你按完电梯，马上回微信，病毒就这么搭车到了你脸上。这叫接触传播，防不胜防。 很多人觉得扛扛就过去，这想法太危险。感冒让你流鼻涕，流感是把你全身打趴下。它能让你几小时内烧到40度，骨头缝都疼，虚弱得下不了床。对孩子、老人、有基础病的人更危险，可能引发肺炎或心肌炎。孩子高烧超过3天不退，大人喘不上气、心慌，马上去医院。 今年这病毒有点“挑人”。它更爱攻击老年人和身体底子差的人，容易让他们变重症。年轻人也别大意，它另一种H1N1兄弟就喜欢找年轻人和小孩。一家老小，今年冬天都得格外当心。 对付流感，最靠谱的盾牌就是每年打疫苗。今年的苗已经能防H3N2了。就算现在打，也来得及在流行期保护你。打疫苗主要是防重症、防住院，别指望它百分百不感染，但能让你少受大罪。 习惯得改改了。每天用酒精棉片擦擦手机，正反面、边角都擦到。在公交车、医院这些地方，尽量少掏手机玩。老话依然管用：人多地方戴口罩、流水肥皂认真洗手、家里多开窗。加上手机清洁，这几招能挡掉大部分风险。 万一突然高烧、全身酸疼，别自己乱吃消炎药，那对病毒没用。赶紧去医院确诊。如果真是流感，医生开的抗病毒药，在头48小时内吃效果最好，能缩短生病时间，拦住病毒往重了发展。 各位读者你们怎么看？欢迎在评论区讨论。@走天下观四方",,,,
528581,"标题：#勇敢的宝宝#留观30分钟  打完流感疫苗，我问疼不疼啊？答：不疼，我拿出了全世界最大的勇敢😂
正文：#勇敢的宝宝#留观30分钟  打完流感疫苗，我问疼不疼啊？答：不疼，我拿出了全世界最大的勇敢😂",,,,
428459,"标题：1、家里如果没有人抽烟或者喝酒，宝宝的免疫力可以甩同龄人几条街；2、定期接种疫苗，除了国家免费接种的，还可以考虑肺炎疫苗、流感疫苗等；3、多可能的给妈妈创造母乳喂养的环境，没有任何奶粉可以完美代替母乳
正文：1、家里如果没有人抽烟或者喝酒，宝宝的免疫力可以甩同龄人几条街；2、定期接种疫苗，除了国家免费接种的，还可以考虑肺炎疫苗、流感疫苗等；3、多可能的给妈妈创造母乳喂养的环境，没有任何奶粉可以完美代替母乳的营养；4、维生素D通常在出生后就可以每天补充，推荐剂量400-600IU每天，也可以根据需要按年龄服用维生素AD；5、等宝宝稍微大一些，做好保暖的前提下，尽可能增加孩子户外运动的时间，预防眼睛视力下降；以上，需要了解更多可以阅读美国儿科学会的《育儿百科》",,,,
306449,"标题：看着纽约已经成为美国最多确诊案例的新闻我真的不太淡定了，就纽约跟西雅图最多，我就是准备来往这两个城市呀！心情很糟糕，而且还没什么人戴口罩，然后洛杉矶还弄一个几万人的马拉松，观看者还30人…心真大呀，会
正文：看着纽约已经成为美国最多确诊案例的新闻我真的不太淡定了，就纽约跟西雅图最多，我就是准备来往这两个城市呀！心情很糟糕，而且还没什么人戴口罩，然后洛杉矶还弄一个几万人的马拉松，观看者还30人…心真大呀，会死人的一个病毒耶，不是普通流感呀，就算现在人数没有去到爆发点也需要去控制呀，月底还要去复诊顺便今年要打个流感疫苗了，我还要去买相机啊，问题是这疫情我不敢出门呀… http://t.cn/z8tkv0g http://t.cn/A6zwlK9M",,,,
1126585,"标题：出门打了流感疫苗 冻得晕乎乎[晕] ​​疫苗名称 流感-科兴-0.5ml-D-4价裂解液预 接种单位 接种门诊 疫苗厂商 北京科兴 疫苗批号 LA202404019 电子监管码819007303794
正文：出门打了流感疫苗 冻得晕乎乎[晕] ​​疫苗名称 流感-科兴-0.5ml-D-4价裂解液预 接种单位 接种门诊 疫苗厂商 北京科兴 疫苗批号 LA202404019 电子监管码81900730379497728556",,,,
481602,"标题：怀孕能不能打疫苗？打完发现怀孕能要吗？
正文：最近，一对夫妇来到门诊上，女的一脸没好气的样子，给丈夫冷脸看：“空调一开，空间密闭，一人感冒全部遭殃。”原来，这位孕妈的工作环境中，不少人都感冒发烧，因为忍受不了，也害怕自己被传染，所以主动想打流感疫苗。但没想却遭到了丈夫的反对。丈夫的态度也十分坚决，“你知不知道疫苗是病毒，肚子里有孩子怎么敢打啊！……从没听过孕妇打疫苗的，万一出问题了咋办？！”夫妻俩互不相让，都希望我帮着说话，这可就难为我了。孕妇有没有必要打流感疫苗？在我们医院，备孕和孕期都会与孕妇沟通是否接种疫苗。我们曾经做过一个小范围的调查，极少有孕妇为预防流感选择接种疫苗：“肚子里有了孩子，肯定不敢随便打针。万一孩子有什么问题，那不是一辈子都完了。”“绝对不打。我上个月感冒了，没去医院，叫老公去药店买感冒药，当然西药不敢吃，吃的是中药。”“再说了，我不一定就能感染上，没必要打啊。”怀孕期间，孕妈们普遍担心疫苗的安全问题，害怕给孩子造成有害的影响，是不接受疫苗的主要原因。而有一部分孕妈低估了流感的风险，更缺乏防范意识。是的，在这个时代，婚检、孕前检查都是奢侈，谁还会考虑要打疫苗呢。但实际上，孕期、（特别是）孕前接种某些疫苗是必要的。孕妇本身是传染病感染的高危人群，如果不幸感染了流感，很容易出现严重的并发症，比如肺炎等，可能会增加流产、早产及其它孕期并发症的发生几率。如果孕妇在孕早期因为流感而出现了持续性的高热，还会增加胎儿畸形的发生率。而且，一旦我们判断感染有可能会对母亲和胎儿带来较大的风险的话，还是需要进行免疫接种的，前提是疫苗是安全的。孕期进行免疫接种可以保护母亲和胎儿免受一些感染的伤害，还可以给出生后的婴儿提供被动保护。孕妇接种疫苗安不安全？不仅是流感疫苗，在孕期很多妈妈可能遇到过这样的烦恼：“不小心被宠物抓伤、挠破，是否可以接种狂犬病疫苗？”“扎到钉子了，是否可以注射破伤风疫苗？”“注射了疫苗，才发现原来自己已经怀上宝宝了…”说到底大家关心的就是打疫苗安不安全，对胎儿有没有影响。那么，我们先来看看疫苗的种类。疫苗，大概可以分为灭活疫苗和非灭活疫苗。●灭活疫苗：表示疫苗中的微生物，已经通过化学或物理的方法杀灭了，仅这些微生物的组分，已足够让人体产生免疫力。例如破伤风这样的疫苗，孕期可以使用。●减毒或减活疫苗：是减弱了致病力的微生物制成的，它们只有保着「命」，才能让人体产生免疫力。麻疹疫苗、风疹疫苗等都属于这种疫苗，孕期禁用。因此，不是所有的疫苗孕期都能接种，对于孕妇而言，灭活的可以打，减活的或者活疫苗不能打。哪些疫苗被推荐，哪些疫苗被禁止？“这不废话吗！”有的孕妈看了可能会想，说了这么多我怎么知道哪些是灭活的，哪些是活疫苗，哪些是减活的啊？这种隔靴搔痒的假把式确实烦人，所以下面我直接罗列生活中我们常用的疫苗。怀孕期推荐使用的主要疫苗✔流感疫苗：为避免在孕期感染流感引起的不良后果及住院治疗，孕妇接种灭活的流感疫苗非常有必要的。如前所述，孕期接种流感疫苗是安全的，在流感高发的季节，建议在医生的指导下进行接种。✔百白破疫苗：在整个孕期都可以接种百白破疫苗，最佳的选择是在妊娠27-36周期间接种。怀孕期应该避免的疫苗✘HPV：HPV疫苗属于灭活疫苗，理论上不会对妊娠造成不良影响。目前研究也没有发现疫苗对孕妇和胎儿产生不良的影响，但各国指南均建议孕妇不要接种，如果接种后发现怀孕应停止后续接种，其他剂次在分娩后继续进行。✘麻疹，腮腺炎，风疹（MMR）：MMR是减毒活疫苗，不建议在孕期应用，因为有潜在的感染母亲和胎儿的风险，但是到目前为止没有发现导致母儿不良结局的证据。✘水痘：水痘也是活疫苗，不建议在孕期应用，因为有潜在的感染母亲和胎儿的风险，但是到目前为止没有发现导致母儿不良结局的证据。✘LAIV：LAIV是流感减毒活疫苗，不建议在孕期接种，可以在产后或母乳喂养的母亲接种。✘结核：虽然没有发现有什么不良影响，依然不建议在孕期接种BCG 疫苗预防结核。✘带状疱疹：是减毒活疫苗，不建议在孕期接种。* 以下两个表格是对孕期、产前、产后疫苗接种的总结，来自“疫苗网Rambo”PS：世界卫生组织与美国疾控中心建议孕妇接种流感疫苗，在美国，孕妇流感疫苗的接种率约为50%，而中国从2014年才开始借鉴世卫组织的建议和其他国家的应用经验。2014年，中国疾控中心印发了《中国季节性流感疫苗应用技术指南（2014-2015）》，指南中明确指出，推荐孕妇接种季节性流感疫苗。不过这一举措大多国人却并不买账。建议孕妈们在流感季到来之前，对是否需要接种流感疫苗，提前咨询专业医生的意见。",,,,
1625906,"标题：茶水能否预防甲流
正文：甲流来势汹汹，有人竟指望一杯茶水挡病毒？上海某医院门诊部里，王淼医生一句话戳破幻想：再香的茶也顶不过疫苗。 亲戚群里传的偏方五花八门，绿茶、姜汤、蜂蜜水，听着热闹，真信了反而耽误正事。 感染初期身体像着了火，炎症飙升，喉咙肿痛，肌肉酸软。这时候最该做的不是硬扛，而是乖乖喝水、好好睡觉，把药吃对，让身体有力气赶走病毒。生姜倒不是空穴来风，姜辣素确实能抗炎，泡杯热姜茶加片柠檬，喉咙能舒服不少。可肠胃不好的人可得悠着点，别喝太浓。坚持几天，小便正常了，头晕减轻，咳嗽也顺畅，这都是绿茶和生姜里的抗氧化物在帮忙。 但记住，这些只是辅助，缺了睡眠和药物，再多的偏方也是白搭。想安稳过冬春，其实不难：先打疫苗，睡好觉吃好饭，再备杯热茶或姜水随时喝。 这几样都做到，流感季也能松口气。你家的防流感妙招是不是也少不了一杯热水？评论区聊聊吧！",,,,
1629264,"标题：#成都糖友控糖防感染两不误#成都专家的建议太实用了！控糖+疫苗+少聚集+健康生活，四重防护才安心。#成都专家为糖友支招提防带状疱疹# ​微博视频号 秋冬免疫力下降 2 @封面新间 医生提醒： 糖尿病患
正文：#成都糖友控糖防感染两不误#成都专家的建议太实用了！控糖+疫苗+少聚集+健康生活，四重防护才安心。#成都专家为糖友支招提防带状疱疹# ​微博视频号 秋冬免疫力下降 2 @封面新间 医生提醒： 糖尿病患者需警惕带状疱疹 廖联 租 壹夜 无事 5 因为这个疾病更重要的是在于预防 七 变欢光单 成都东路儿人院医险 面 H 1 FE 联E州水临 490 I.W 1 界美总建从伊天 @万金油涂你身上  秋冬免疫力下降 @封面新闻 医生提醒： 糖尿病患者需警惕带状疱疹 会导致他的血糖出现波动不稳定 @万金油涂你身上  微博视频号 秋冬免疫力下降 ? @封面新闻 医生提醒：糖尿病患者需警惕带状疱疹 接种留观区 The observation area 所以建议要接种流感 @万金油涂你身上",,,,
1458000,"标题：天气变冷，医生警告糖尿病人：宁可天天出门，也别忽视这7个隐患
正文：最扎心的一幕，常在冬天的急诊。人刚被推进来，指尖一测，低血糖拉满。家属喊药不灵了。真相多半不是药，是生活在拆台。 冷风一来，交感神经被按下加速键。肾上腺素和皮质醇往上走，血糖跟着抬头。人又不想出门动，热量堆着。看着平稳的曲线，几天就起伏成锯齿。很多人的监测还停在“早晚各一次”。冬季不够用。饭前后各加一次。感冒发烧再加测。用上连续血糖监测的，报警阈值往上调一点，防深夜闷杀。 手脚凉不算小题。糖尿病的神经和小血管原就脆。气温一降，血管再收一把。冰凉不只是感觉差，代表供血差。脚趾起个小泡，小伤口没感觉，拖着拖着就化脓。热水袋直接烫脚更险，很多人没痛觉，起水疱才发现。每天洗完脚把脚底和趾缝看一遍。有茧就打磨。鞋袜要暖不勒。过紧的棉袜，血流被卡住，后果翻倍。 冬天爱感冒。糖友免疫力打折，感染更容易往肺里走。高血糖又让恢复慢。有时一场支气管炎，直接把人送进酮症酸中毒或高渗高血糖的坑。防线很朴素。出门戴好口罩。接种当季流感疫苗和肺炎相关疫苗。咳嗽发热时别硬扛，血糖和酮体一起盯。 “皮肤裂口不值一提？”裂了就给细菌开门。暖气一开，屋里干得起皮。身上抹霜。屋里放加湿器或一盆清水。抓痒见血，涂药别拖。脚后跟的裂口最爱反复，贴封包也要先把糖稳住。 冬天人馋。火锅、烤肉、汤汤水水端上桌。问题常在“补汤”。红枣桂圆蜂蜜下锅，甜味藏在温热的汤里。喝下去心里踏实，血糖却走高。汤要清。少油少糖。外卖和“亲戚送的秘方汤”都先谢过。 “情绪稳不稳，血糖看得见。”日照短，心情容易低落。睡不踏实，内分泌立刻乱套。有人连着几晚刷短视频到深夜，早上又赖床。血糖一天乱过一天。把手机扔远一点。睡够七到八小时，固定时段起床。太多太少都不行。 喝水这件事，越冷越容易被忽略。口渴感变弱，人就不喝。血液浓缩，血糖更上去。白水放在手边。每次小口小口地补。尿黄就提醒自己再喝点。 还有血压。很多糖友同时是高血压人群。天冷血压普遍往上顶。只盯血糖，脑子和心脏会抗议。家里备台血压计。早晚各量一次。头疼、胸闷、眼花，不要犟。去医院查清。 用药别自己演主角。临时加量，跨不过低血糖这个坎。冬天更危险。调整该看数据。把一周的血糖记录带去给医生看。老年合并症多的，控糖目标别卡死，先防低血糖。这条底线，救命。 穿衣看体感容易误事。年纪大的人总说不冷。感冒一次，半个月回不来。四肢多护。围巾、手套、保暖鞋垫到位。泡脚水温稳在温热线，别烫。 “冬天不是敌人。疏忽才是。”很难。 有人问，非要每天出门吗。要。哪怕小区里慢走二三十分钟。把步数补起来，胰岛素敏感性就回来一大截。谁知道呢？这一步，可能就是往回把你从血糖的悬崖边拽回来的一步。",,,,
1132313,"标题：每年都会接种流感疫苗，全家接种，健康第一位#接种流感疫苗[话题]#，守护全家健康#宁夏流感疫苗[话题]##平罗流感疫苗[话题]#
正文：每年都会接种流感疫苗，全家接种，健康第一位#接种流感疫苗，守护全家健康#宁夏流感疫苗#平罗流感疫苗店 temperature 小红书  燕 temperature 小红书  SINOVAC 四价流感病毒裂解疫苗 信店：05ml支 批准文号：国砖准字S20200010 0.5ml/支 temperature 小红书  小红书 temperature 硬撑  小红书 temperature 硬撑 ASR:本告二百二十本本本审本本本据据据据据据据据据据据据据据据据据据据据据据据据据据据据证据证有没有诉诉证据",,,,
